Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"OKWUTE HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,14,10,77,1,136,510,,,,,
"UGWUNWAOCHA SQUARE I, AGUATA, ANAMBRA",6.0085842,7.1009488,4,101,0,2,115,324,,,,,
"UGWUNWAOCHA SQUARE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,53,1,0,58,226,,,,,
"UGWUNWAOCHA SQUARE III, AGUATA, ANAMBRA",6.0085842,7.1009488,0,64,1,0,67,214,,,,,
"COMMUNITY SEC. SCHOOL I, AGUATA, ANAMBRA",6.0019303,7.1069537,0,0,0,0,120,477,,,,,
"COMMUNITY SEC. SCHOOL II, AGUATA, ANAMBRA",6.0019303,7.1069537,2,63,1,0,67,328,,,,,
"R.V. UMUEZE I, AGUATA, ANAMBRA",6.0085842,7.1009488,2,7,66,1,97,322,,,,,
"R.V. UMUEZE II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,69,0,0,69,243,,,,,
"COMMUNITY PRY. SCHOOL III, AGUATA, ANAMBRA",6.0053243,7.0991283,0,110,1,0,112,439,,,,,
"COMMUNITY PRY. SCHOOL IV, AGUATA, ANAMBRA",6.0053243,7.0991283,0,95,2,0,101,407,,,,,
"OGANIRU PRY. SCHOOL I, AGUATA, ANAMBRA",6.2106437,7.0052827,0,192,1,1,203,837,,,,,
"OGANIRU PRY. SCHOOL II, AGUATA, ANAMBRA",6.2106437,7.0052827,0,0,0,0,142,570,,,,,
"OGANIRU PRY. SCHOOL III, AGUATA, ANAMBRA",6.2106437,7.0052827,2,174,2,2,184,706,,,,,
"IHUOGWUGWU HALL I, AGUATA, ANAMBRA",6.0085842,7.1009488,0,161,0,0,161,590,,,,,
"IHUOGWUGWU HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,0,76,0,0,77,295,,,,,
"UGA B.S.S. I, AGUATA, ANAMBRA",5.9353459,7.0794263,1,191,0,0,200,782,,,,,
"UGA B.S.S II, AGUATA, ANAMBRA",5.9353459,7.0794263,1,184,0,0,188,743,,,,,
"UGA B.S.S III, AGUATA, ANAMBRA",5.9353459,7.0794263,0,0,0,0,169,699,,,,,
"UGA GIRLS, AGUATA, ANAMBRA",5.9353459,7.0794263,1,98,0,0,110,532,,,,,
"MBALAOYE SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,170,2,2,177,764,,,,,
"CIVIC CENTRE, AGUATA, ANAMBRA",5.9420282,7.1226675,1,70,2,0,76,536,,,,,
"G. S. S. UMUCHI, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,155,634,,,,,
"AMAHIE PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,208,2,0,227,710,,,,,
